uniqueid,country,barcode,old_subjid,new_subjid,reason,corrected_at,corrected_by
e99b85cd-4830-4eaa-a319-3999e6f1ee0d,BF,R21B-005-YHSU,21050050001,21050059001,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
a5dab8af-64f2-46f6-97c7-43a500bda28e,BF,R21B-005-SHUH,21050050002,21050059002,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
ca250f58-1d30-4e7f-9c93-3be9566673f3,BF,R21B-005-APN7,21050050003,21050059003,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
c45d915a-2877-4c3a-8c8f-df5d8b322903,BF,R21B-005-JXYH,21050050004,21050059004,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
1ed8374a-91f8-4178-a2c8-78fec78ab997,BF,R21B-005-UV63,21050050005,21050059005,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
0b84c429-1126-4957-9d3c-7f04cdc7ecc0,BF,R21B-005-FAWW,21050050006,21050059006,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
3efb862e-414d-4656-bd35-8386b07a801b,BF,R21B-005-47FF,21050050007,21050059007,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
a493e8f3-0d92-4f3f-bcf8-30100cc0195d,BF,R21B-005-AHNP,21050050008,21050059008,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
cf49fbfb-59e8-4e23-b1d9-860fac742956,BF,R21B-005-TKSU,21050050009,21050059009,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
5e25f87e-64a8-42b5-a22b-9a9289556ff2,BF,R21B-005-QQRV,21050050010,21050059010,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
f2fc6eb7-1c8a-4766-b467-59c8be1333a2,BF,R21B-005-YXZW,21050050011,21050059011,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
8b9f9a42-e238-4712-836c-bdf29b0cb210,BF,R21B-005-SVGK,21050050012,21050059012,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
3837701f-f5d0-407b-a64f-3bf79a0e0d99,BF,R21B-005-N83J,21050050013,21050059013,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
6686fac8-d58b-4f0b-9230-2740c2c9ba86,BF,R21B-005-MK4V,21050050014,21050059014,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
bbf25e37-573c-4a0a-b2bd-ac8d656f17d5,BF,R21B-005-BSW3,21050050015,21050059015,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
e1c49470-9930-48da-bf18-976a8cbccd56,BF,R21B-005-6U2W,21050050016,21050059016,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
b0cda2ae-f59f-48f2-9b01-30d1585ee6f0,BF,R21B-005-V9XF,21050050017,21050059017,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
251ea71c-aaa5-4c87-8b23-5f3640043b05,BF,R21B-005-DGY7,21050050018,21050059018,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
c689c485-8c96-4501-bc8a-0aba4ec87ef8,BF,R21B-005-RJWF,21050050019,21050059019,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
a5028159-8247-4ab9-9931-d92a49908567,BF,R21B-005-Y2KG,21050050020,21050059020,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
65a0e481-1e4b-4db3-90ae-c2b592691d4b,BF,R21B-005-UH97,21050050021,21050059021,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
72db52ac-a6ba-4f65-afb0-08d2078950de,BF,R21B-005-ZWPK,21050050022,21050059022,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-10T18:22:57,glavoy
57cd41f8-d3ef-4342-96c4-e806717032dd,BF,R21B-005-5PTT,21050050023,21050059023,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-11T06:31:31,glavoy
04a21975-096a-404b-ad97-57b5e582e032,BF,R21B-005-T5FC,21050050024,21050059024,device 105 lost its database on 2026-08-03 (app uninstalled or storage cleared); the counter restarted at 0001 and reissued ids already used in July,2026-08-11T06:31:31,glavoy
